time,minor,major
2024-11-15 12:43:45,357.813,0
2024-11-15 12:43:44,349.9622,0
2024-11-15 12:43:43,279.1842,0
2024-11-15 12:43:42,384.7034,0
2024-11-15 12:43:41,394.7628,0
2024-11-15 12:43:40,351.2126,0
2024-11-15 12:43:39,422.5371,0
2024-11-15 12:43:38,291.2694,0
2024-11-15 12:43:37,242.1333,-0.3794598
2024-11-15 12:43:36,765.1113,-0.6205402
2024-11-15 12:43:35,1135.7434,0
2024-11-15 12:43:34,367.6054,0
2024-11-15 12:43:33,340.3214,0
2024-11-15 12:43:32,306.3184,0
2024-11-15 12:43:31,341.6575,0
2024-11-15 12:43:30,269.9185,0
2024-11-15 12:43:29,290.4405,0
2024-11-15 12:43:28,238.648,0
2024-11-15 12:43:27,238.0349,-0.3797793
2024-11-15 12:43:26,267.5812,-0.6202207
2024-11-15 12:43:25,286.786,0
2024-11-15 12:43:24,237.4687,0
2024-11-15 12:43:23,235.7472,0
2024-11-15 12:43:22,238.8937,0
2024-11-15 12:43:21,245.8425,0
2024-11-15 12:43:20,246.6938,0
2024-11-15 12:43:19,258.889,0
2024-11-15 12:43:18,272.8933,0
2024-11-15 12:43:17,242.9977,-0.3797607
2024-11-15 12:43:16,278.3811,-0.6202393
2024-11-15 12:43:15,381.6079,0
2024-11-15 12:43:14,392.9978,0
2024-11-15 12:43:13,257.1983,0
2024-11-15 12:43:12,237.2231,0
2024-11-15 12:43:11,237.1697,0
2024-11-15 12:43:10,239.8084,0
2024-11-15 12:43:09,241.3413,0
2024-11-15 12:43:08,240.1031,0
2024-11-15 12:43:07,241.9619,-0.3798932
2024-11-15 12:43:06,272.3256,-0.6201068
2024-11-15 12:43:05,282.3749,0
2024-11-15 12:43:04,237.4854,0
2024-11-15 12:43:03,238.8093,0
2024-11-15 12:43:02,307.6388,0
2024-11-15 12:43:01,356.1456,0
2024-11-15 12:43:00,256.6022,0
2024-11-15 12:42:59,253.5333,0
2024-11-15 12:42:58,264.9846,0
2024-11-15 12:42:57,246.5794,-0.3797337
2024-11-15 12:42:56,280.9124,-0.6202663
2024-11-15 12:42:55,291.597,0
2024-11-15 12:42:54,236.2528,0
2024-11-15 12:42:53,241.4369,0
2024-11-15 12:42:52,246.2648,0
2024-11-15 12:42:51,245.752,0
2024-11-15 12:42:50,272.1842,0
2024-11-15 12:42:49,617.2979,0
2024-11-15 12:42:48,809.6547,0
2024-11-15 12:42:47,251.6248,-0.3797961
2024-11-15 12:42:46,283.591,-0.6202039
2024-11-15 12:42:45,305.13,0
2024-11-15 12:42:44,241.4935,0
2024-11-15 12:42:43,245.0949,0
2024-11-15 12:42:42,248.8866,0
2024-11-15 12:42:41,298.3126,0
2024-11-15 12:42:40,362.9785,0
2024-11-15 12:42:39,382.5958,0
2024-11-15 12:42:38,376.0727,0
2024-11-15 12:42:37,257.4067,-0.3795599
2024-11-15 12:42:36,271.2127,-0.6204401
2024-11-15 12:42:35,288.5681,0
2024-11-15 12:42:34,244.3288,0
2024-11-15 12:42:33,237.3239,0
2024-11-15 12:42:32,299.3842,0
2024-11-15 12:42:31,364.7812,0
2024-11-15 12:42:30,271.2762,0
2024-11-15 12:42:29,235.47,0
2024-11-15 12:42:28,237.9709,0
2024-11-15 12:42:27,241.0502,-0.3795055
2024-11-15 12:42:26,1445.0428,-0.6204945
2024-11-15 12:42:25,2205.351,0
2024-11-15 12:42:24,262.5479,0
2024-11-15 12:42:23,269.0471,0
2024-11-15 12:42:22,339.3648,0
2024-11-15 12:42:21,405.1603,0
2024-11-15 12:42:20,1403.6746,0
2024-11-15 12:42:19,2637.195,0
2024-11-15 12:42:18,1050.3039,0
2024-11-15 12:42:17,299.5361,-0.3794696
2024-11-15 12:42:16,439.9141,-0.6205304
2024-11-15 12:42:15,493.5683,0
2024-11-15 12:42:14,462.3195,0
2024-11-15 12:42:13,338.6776,0
2024-11-15 12:42:12,242.6729,0
2024-11-15 12:42:11,966.6139,0
2024-11-15 12:42:10,1432.9057,0
2024-11-15 12:42:09,574.1667,0
2024-11-15 12:42:08,752.9156,0
2024-11-15 12:42:07,241.0446,-0.3795996
2024-11-15 12:42:06,273.6969,-0.6204004
2024-11-15 12:42:05,289.399,0
2024-11-15 12:42:04,240.9974,0
2024-11-15 12:42:03,277.0566,0
2024-11-15 12:42:02,360.6863,0
2024-11-15 12:42:01,353.5426,0
2024-11-15 12:42:00,261.9225,0
2024-11-15 12:41:59,349.0019,0
2024-11-15 12:41:58,435.6752,0
2024-11-15 12:41:57,300.8315,-0.379368
2024-11-15 12:41:56,325.8531,-0.620632
2024-11-15 12:41:55,290.1641,0
2024-11-15 12:41:54,288.1396,0
2024-11-15 12:41:53,316.1034,0
2024-11-15 12:41:52,240.6515,0
2024-11-15 12:41:51,273.7653,0
2024-11-15 12:41:50,302.0516,0
2024-11-15 12:41:49,353.3371,0
2024-11-15 12:41:48,474.8141,0
2024-11-15 12:41:47,354.8011,-0.3794893
2024-11-15 12:41:46,274.6837,-0.6205107
2024-11-15 12:41:45,286.1641,0
2024-11-15 12:41:44,238.2696,0
2024-11-15 12:41:43,268.9213,0
2024-11-15 12:41:42,4004.584,0
2024-11-15 12:41:41,6311.815,0
2024-11-15 12:41:40,275.1971,0
2024-11-15 12:41:39,374.3669,0
2024-11-15 12:41:38,364.8959,0
2024-11-15 12:41:37,3289.737,-0.3795846
2024-11-15 12:41:36,5455.941,-0.6204154
2024-11-15 12:41:35,630.3863,0
2024-11-15 12:41:34,319.4231,0
2024-11-15 12:41:33,366.6721,0
2024-11-15 12:41:32,298.5346,0
2024-11-15 12:41:31,341.6923,0
2024-11-15 12:41:30,1218.5856,0
2024-11-15 12:41:29,1989.483,0
2024-11-15 12:41:28,563.3337,0
2024-11-15 12:41:27,488.5899,-0.379556
2024-11-15 12:41:26,1223.046,-0.620444
2024-11-15 12:41:25,1605.9906,0
2024-11-15 12:41:24,537.5524,0
2024-11-15 12:41:23,393.4707,0
2024-11-15 12:41:22,282.0896,0
2024-11-15 12:41:21,240.6745,0
2024-11-15 12:41:20,240.407,0
2024-11-15 12:41:19,318.0617,0
2024-11-15 12:41:18,361.65,0
2024-11-15 12:41:17,246.5188,-0.3798089
2024-11-15 12:41:16,278.2959,-0.6201911
2024-11-15 12:41:15,284.464,0
2024-11-15 12:41:14,237.9658,0
2024-11-15 12:41:13,339.0147,0
2024-11-15 12:41:12,406.8087,0
2024-11-15 12:41:11,283.2774,0
2024-11-15 12:41:10,301.9186,0
2024-11-15 12:41:09,240.6696,0
2024-11-15 12:41:08,309.8882,0
2024-11-15 12:41:07,366.6596,-0.3796273
2024-11-15 12:41:06,297.4192,-0.6203727
2024-11-15 12:41:05,347.4573,0
2024-11-15 12:41:04,338.2544,0
2024-11-15 12:41:03,240.143,0
2024-11-15 12:41:02,305.0143,0
2024-11-15 12:41:01,354.0663,0
2024-11-15 12:41:00,262.5741,0
2024-11-15 12:40:59,275.2172,0
2024-11-15 12:40:58,279.9819,0
2024-11-15 12:40:57,242.8506,-0.3797262
2024-11-15 12:40:56,335.5121,-0.6202738
2024-11-15 12:40:55,393.8196,0
2024-11-15 12:40:54,251.1707,0
2024-11-15 12:40:53,239.9928,0
2024-11-15 12:40:52,240.381,0
2024-11-15 12:40:51,240.6096,0
2024-11-15 12:40:50,240.0374,0
2024-11-15 12:40:49,259.7723,0
2024-11-15 12:40:48,362.1957,0
2024-11-15 12:40:47,2533.867,-0.3796285
2024-11-15 12:40:46,3779.659,-0.6203715
2024-11-15 12:40:45,390.1932,0
2024-11-15 12:40:44,399.8041,0
2024-11-15 12:40:43,236.3946,0
