time,time
2024-11-15 12:26:44,2.280052
2024-11-15 12:26:42,4.673198
2024-11-15 12:26:40,1.764554
2024-11-15 12:26:38,4.333371
2024-11-15 12:26:36,3.838849
2024-11-15 12:26:34,2.609921
2024-11-15 12:26:32,2.395569
2024-11-15 12:26:30,2.697804
2024-11-15 12:26:28,3.000024
2024-11-15 12:26:26,2.999976
2024-11-15 12:26:24,3.296649
2024-11-15 12:26:22,3.598882
2024-11-15 12:26:20,3.604439
2024-11-15 12:26:18,3.000005
2024-11-15 12:26:16,2.208881
2024-11-15 12:26:14,1.74452
2024-11-15 12:26:12,2.546663
2024-11-15 12:26:10,3.280041
2024-11-15 12:26:08,5.719909
2024-11-15 12:26:06,3.000038
2024-11-15 12:26:04,2.208827
2024-11-15 12:26:02,1.6044059
2024-11-15 12:26:00,1.0000038
2024-11-15 12:25:58,1.0000117
2024-11-15 12:25:56,1.5933693
2024-11-15 12:25:54,2.395575
2024-11-15 12:25:52,2.604424
2024-11-15 12:25:50,2.186687
2024-11-15 12:25:48,4.000044
2024-11-15 12:25:46,4.000004
2024-11-15 12:25:44,3.953296
2024-11-15 12:25:42,3.328828
2024-11-15 12:25:40,1.666695
2024-11-15 12:25:38,2.161104
2024-11-15 12:25:36,2.79663
2024-11-15 12:25:34,2.208899
2024-11-15 12:25:32,1.6511325
2024-11-15 12:25:30,1.6399537
2024-11-15 12:25:28,3.062245
2024-11-15 12:25:26,3.66672
2024-11-15 12:25:24,2.677742
2024-11-15 12:25:22,2.593328
2024-11-15 12:25:20,3.000004
2024-11-15 12:25:18,3.000033
2024-11-15 12:25:16,3.000034
2024-11-15 12:25:14,2.6044
2024-11-15 12:25:12,2.302176
2024-11-15 12:25:10,2.000027
2024-11-15 12:25:08,1.999994
2024-11-15 12:25:06,2.296652
2024-11-15 12:25:04,3.983371
2024-11-15 12:25:02,4.76665
2024-11-15 12:25:00,2.51557
2024-11-15 12:24:58,2.666731
2024-11-15 12:24:56,1.974387
2024-11-15 12:24:54,2.785622
2024-11-15 12:24:52,3.479917
2024-11-15 12:24:50,1.6667006
2024-11-15 12:24:48,2.161137
2024-11-15 12:24:46,2.598868
2024-11-15 12:24:44,2.744472
2024-11-15 12:24:42,3.640009
2024-11-15 12:24:40,4.999963
2024-11-15 12:24:38,3.417714
2024-11-15 12:24:36,2.302208
2024-11-15 12:24:34,2.0311
2024-11-15 12:24:32,2.33336
2024-11-15 12:24:30,1.740006
2024-11-15 12:24:28,1.3956032
2024-11-15 12:24:26,2.139996
2024-11-15 12:24:24,3.577764
2024-11-15 12:24:22,4.333417
2024-11-15 12:24:20,3.245461
2024-11-15 12:24:18,2.796671
2024-11-15 12:24:16,6.362518
2024-11-15 12:24:14,8.0442
2024-11-15 12:24:12,1.999923
2024-11-15 12:24:10,1.999967
2024-11-15 12:24:08,2.093331
2024-11-15 12:24:06,2.968897
2024-11-15 12:24:04,2.66668
2024-11-15 12:24:02,2.567776
2024-11-15 12:24:00,2.994446
2024-11-15 12:23:58,3.551148
2024-11-15 12:23:56,5.666901
2024-11-15 12:23:54,4.974305
2024-11-15 12:23:52,5.192228
2024-11-15 12:23:50,5.38665
2024-11-15 12:23:48,2.666629
2024-11-15 12:23:46,2.567716
2024-11-15 12:23:44,2.203304
2024-11-15 12:23:42,1.953331
2024-11-15 12:23:40,1.4844383
2024-11-15 12:23:38,1.3333342
2024-11-15 12:23:36,1.728869
2024-11-15 12:23:34,2.19779
2024-11-15 12:23:32,2.395622
